text	is_joke	clean_text	lemmas
Странно, что реклама в рифму может в чём-то убедить. Такого же не бывает в суде: «Я — товарищ адвокат, мой клиент не виноват!»	1	странно что реклама в рифму может в чёмто убедить такого же не бывает в суде «я — товарищ адвокат мой клиент не виноват»	"странно реклама рифму чёмто убедить такой бывать суд "" я — товарищ адвокат клиент виноватый """
Однажды Андрей Тарковский поспорил, что снимет самый гениальный фильм. Он снял фильм с настолько открытым финалом, что фильм отсутвовал.	1	однажды андрей тарковский поспорил что снимет самый гениальный фильм он снял фильм с настолько открытым финалом что фильм отсутвовал	однажды андрей тарковский поспорить снять самый гениальный фильм снять фильм настолько открытый финал фильм отсутвовал
"— Доктор, мой муж заразился гонореей. Что делать?
— А почему он сам не пришел?
— Он об этом еще ничего не знает."	1	— доктор мой муж заразился гонореей что делать — а почему он сам не пришел — он об этом еще ничего не знает	— доктор муж заразиться гонорея делать — почему прийти — знать
Когда в браке есть дети, родители не могут просто оставить ребёнка и побежать в пшеничное поле, валяться там, плести венки и щекотать друг друга травинками, чтобы в отношения вернулась романтика. Если люди это увидят — родителей просто лишат родительских прав.	1	когда в браке есть дети родители не могут просто оставить ребёнка и побежать в пшеничное поле валяться там плести венки и щекотать друг друга травинками чтобы в отношения вернулась романтика если люди это увидят — родителей просто лишат родительских прав	брак ребёнок родитель мочь просто оставить ребёнок побежать пшеничный поле валяться плести венок щекотать друг друга травинками отношение вернуться романтика человек это увидеть — родитель просто лишить родительский право
"Семья в полном сборе завтракает на кухне. Сын лет семи не может открыть баночку с йогуртом, а потом неосторожно открыв проливает часть на себя.
- Ебаное дерьмище! - восклицает сынишка.
Мать в шоке, - Откуда он это взял?!
- Из ебаного холодильника, тупая ты пизда. - отвечает отец."	1	семья в полном сборе завтракает на кухне сын лет семи не может открыть баночку с йогуртом а потом неосторожно открыв проливает часть на себя ебаное дерьмище восклицает сынишка мать в шоке откуда он это взял из ебаного холодильника тупая ты пизда отвечает отец	семья полный сбор завтракать кухня сын год семь открыть баночка йогурт неосторожно открыть проливать часть ёбаный дерьмище восклицать сынишка мать шок откуда это взять ёбаный холодильника тупой пизда отвечать отец
"Тихий час в детском саду: один из малышей спрашивает у новенького:
— Слысыс ти, тебя как зовут?
— Селеза!
— А сколько тебе лет?
— Не знаю, навелное четыле.
— А к женсинам тянет?
— Пока нет.
— Знасит ты пидол."	1	тихий час в детском саду один из малышей спрашивает у новенького — слысыс ти тебя как зовут — селеза — а сколько тебе лет — не знаю навелное четыле — а к женсинам тянет — пока нет — знасит ты пидол	тихий час детский сад малыш спрашивать новенького — слысыс ти звать — селеза — сколько тебе год — знать навелное четыле — женсинам тянуть — пока — знасит пидол
Смотрите позитивное кино, потому что жизнь и так страшная штука. А страшная она потому, что у тебя всего лишь одна попытка её не просрать. И не всем это удаётся.	1	смотрите позитивное кино потому что жизнь и так страшная штука а страшная она потому что у тебя всего лишь одна попытка её не просрать и не всем это удаётся	смотреть позитивный кино жизнь страшный штука страшный лишь одна попытка её просрать всем это удаваться
«Легче переносить информацию». Минздрав рекомендовал россиянам не трезветь до конца выборов	1	«легче переносить информацию» минздрав рекомендовал россиянам не трезветь до конца выборов	""" лёгкий переносить информация "" минздрав рекомендовать россиянин трезветь конец выбор"
"Грибник в лесу ходит, под ноги смотрит, и случайно застрял раком между деревьев. Дергается, пытается, не может выпутаться, орет на весь лес. Подходит к нему лесник:
- Ты чего мужик, орешь?
- Дак застрял, кричу, ни один хуй не подходит
Лесник, снимая штаны:
- Ну, может мой подойдёт"	1	грибник в лесу ходит под ноги смотрит и случайно застрял раком между деревьев дергается пытается не может выпутаться орет на весь лес подходит к нему лесник ты чего мужик орешь дак застрял кричу ни один хуй не подходит лесник снимая штаны ну может мой подойдёт	грибник лес ходить нога смотреть случайно застрять рак дерево дёргаться пытаться выпутаться орет весь лес подходить нему лесник мужик орать дак застрять кричу хуй подходить лесник снимая штаны подойдёт
"Разговор на авторынке.
Покупатель:
- Скажите, а в этой машине есть какие-либо системы безопасности?
Продавец:
- Да, два презерватива в аптечке.😎"	1	разговор на авторынке покупатель скажите а в этой машине есть какиелибо системы безопасности продавец да два презерватива в аптечке😎	разговор авторынке покупатель скажите машина какиелибо система безопасность продавец презерватив аптечке 😎
"Сидит дед, рыбачит. Подходит к нему Андрюха:
-Дед, а что у тебя в ведре? Рыба?
-Отсосёшь, скажу.
Андрюха отсосал.
Дед говорит:
-Да, рыба)"	1	сидит дед рыбачит подходит к нему андрюха дед а что у тебя в ведре рыба отсосёшь скажу андрюха отсосал дед говорит да рыба	сидеть дед рыбачит подходить нему андрюха дед ведре рыба отсосёшь сказать андрюха отсосать дед говорить рыба
"Психбольница. Главврач обходит палаты и задает пациентам вопросы.
Заходит в очередную палату и спрашивает пациента:
-Ну что, голубчик, на что жалуемся?
-а, а в меня сосед стулом бросается!
-Ну так вы киньте в ответ.
-Но ведь у меня жидкий..."	1	психбольница главврач обходит палаты и задает пациентам вопросы заходит в очередную палату и спрашивает пациента ну что голубчик на что жалуемся а а в меня сосед стулом бросается ну так вы киньте в ответ но ведь у меня жидкий	психбольница главврач обходить палата задавать пациент вопрос заходить очередной палата спрашивать пациент голубчик жалуемся сосед стул бросаться кинуть ответ жидкий
"- Как называется человек, у которого нет левой руки, левой ноги,
левого глаза, левого уха?

- Инвалид I группы"	1	как называется человек у которого нет левой руки левой ноги левого глаза левого уха инвалид i группы	называться человек которого левый рука левый нога левый глаз левый ухо инвалид i группа
"Xиpуpг:
He бoиcь, Cepёгa, вcё бывaeт в пepвый paз!
Пaциeнт:
Я нe Cepёгa.
Я знaю. Cepёгa этo я"	1	xиpуpг he бoиcь cepёгa вcё бывaeт в пepвый paз пaциeнт я нe cepёгa я знaю cepёгa этo я	xиpуpг he бoиcь cepёгa вcё бывaeт пepвый paз пaциeнт нe cepёгa знaю cepёгa этo
"Спрашивает как-то Петька у Василь Иваныча:
- Василь Иваныч, а чем каравелла отличается от фрегата?
- Снимай штаны, покажу
Петька снял, Василий Иваныч вставил ему и говорит:
- Чувствуешь? Вот это каравелло
- А фрегат?
- А фрегат - это корабль такой большой парусный"	1	спрашивает както петька у василь иваныча василь иваныч а чем каравелла отличается от фрегата снимай штаны покажу петька снял василий иваныч вставил ему и говорит чувствуешь вот это каравелло а фрегат а фрегат это корабль такой большой парусный	спрашивать както петька василь иванович василь иваныч каравелла отличаться фрегат снимай штаны покажу петька снять василий иванович вставил говорить чувствовать это каравелло фрегат фрегат это корабль большой парусный
Благодаря мужскому коллективу на работе, я узнала, что у запаха пота есть оттенки. Ужасно, что я в этом разбираюсь? Получается, что я сомелье пота. «Июльский полдень, автобус 43-го маршрута»... Это разные ароматы.	1	благодаря мужскому коллективу на работе я узнала что у запаха пота есть оттенки ужасно что я в этом разбираюсь получается что я сомелье пота «июльский полдень автобус го маршрута» это разные ароматы	"благодаря мужской коллектив работа узнать запаха пот оттенки ужасно разбираться получаться сомелье пот "" июльский полдень автобус го маршрут "" это разный аромат"
"— Алло, это психушка?
— Да.
— А позовите Серёжу из шестой палаты!
— А его нет.
— Фух, значит, мне всё-таки удалось сбежать"	1	— алло это психушка — да — а позовите серёжу из шестой палаты — а его нет — фух значит мне всётаки удалось сбежать	— алло это психушка — — позвать серёжу шестой палата — — фух значить всётаки удаться сбежать
"Снял мужик проститутку. Она разделась, потом сняла с ноги протез, отстегнула накладную грудь, вынула вставную челюсть...
Мужик поворачивается, чтобы уйти.
— Ты что, котик, сбежать xочешь?
— Нет, просто я член в бардачке забыл."	1	снял мужик проститутку она разделась потом сняла с ноги протез отстегнула накладную грудь вынула вставную челюсть мужик поворачивается чтобы уйти — ты что котик сбежать xочешь — нет просто я член в бардачке забыл	снять мужик проститутка раздеться снять нога протез отстегнуть накладный грудь вынуть вставной челюсть мужик поворачиваться уйти — котик сбежать xочешь — просто член бардачке забыть
⚡️«Шазам» распознал пьяное бормотание как выступление Медведева	1	⚡️«шазам» распознал пьяное бормотание как выступление медведева	"⚡ ️«шазам "" распознать пьяный бормотание выступление медведев"
В России запрещают гей-парад и я думаю: «А может, и хорошо, что он запрещён?» Просто я понимаю, когда это мероприятие проводят в Нью-Йорке. Там его проводят для того, чтобы помянуть почивших геев. А в России его зачем проводить? Чтобы тебя потом помянули в Нью-Йорке?	1	в россии запрещают гейпарад и я думаю «а может и хорошо что он запрещён» просто я понимаю когда это мероприятие проводят в ньюйорке там его проводят для того чтобы помянуть почивших геев а в россии его зачем проводить чтобы тебя потом помянули в ньюйорке	"россия запрещать гейпарад думать "" а запрещён "" просто понимать это мероприятие проводить ньюйорке проводить помянуть почить гей россия проводить помянуть ньюйорке"
"Приходит сын работника Роскомнадзора домой с серьгой в ухе. Отец смотрит на него и говорит
— Знаешь, сынок, испокон веков, сережки в ушах носили либо пираты, либо пидарасы. Я сейчас выгляну в окно, и не дай бог, там не стоит твой парень..."	1	приходит сын работника роскомнадзора домой с серьгой в ухе отец смотрит на него и говорит — знаешь сынок испокон веков сережки в ушах носили либо пираты либо пидарасы я сейчас выгляну в окно и не дай бог там не стоит твой парень	приходить сын работник роскомнадзор домой серьгой ухе отец смотреть говорить — знать сынок испокон век серёжка ушах носить либо пират либо пидарасы выгляну окно дай бог стоить твой парень
"Сын семь лет не разговаривал. Семья свыклась с мыслью, что ребёнок родился немым.
И вот сидят они, обедают. Вдруг сын ни с того ни с сего:
— Давай потом в мяч поиграем, пап
Отец, поражённый:
— Как так? Ты же немой!
Сын переводит взгляд на мать. Она, улыбаясь:
— И не мой)"	1	сын семь лет не разговаривал семья свыклась с мыслью что ребёнок родился немым и вот сидят они обедают вдруг сын ни с того ни с сего — давай потом в мяч поиграем пап отец поражённый — как так ты же немой сын переводит взгляд на мать она улыбаясь — и не мой	сын семь год разговаривать семья свыкнуться мысль ребёнок родиться немым сидеть обедать сын сего — давать мяч поиграем пап отец поражённый — немой сын переводить взгляд мать улыбаться —
"Армянский лоли-хентай:

—Братик, поиграй со мной!

Заходят родители в комнату к дочери, а там дети в нарды играют."	1	армянский лолихентай —братик поиграй со мной заходят родители в комнату к дочери а там дети в нарды играют	армянский лолихентай — братик поиграй мной заходить родитель комната дочь ребёнок нарды играть
"Во время празднования нового 2001-го года телерепортер спросил прохожего на улице Лондона:
- Какие у вас планы на это тысячелетие?
- Довольно скромные. Большую его часть я буду мертв."	1	во время празднования нового го года телерепортер спросил прохожего на улице лондона какие у вас планы на это тысячелетие довольно скромные большую его часть я буду мертв	время празднование новый го год телерепортер спросить прохожий улица лондон какой план это тысячелетие довольно скромные больший часть быть мёртвый
"Адвокат: раз процесс, два процесс — завтра будет ""Мерседес"".
Врач: раз аборт, два аборт — завтра еду на курорт.
Учитель: раз тетрадь, два тетрадь — есть чем жопу вытирать."	1	адвокат раз процесс два процесс — завтра будет мерседес врач раз аборт два аборт — завтра еду на курорт учитель раз тетрадь два тетрадь — есть чем жопу вытирать	адвокат процесс процесс — завтра мерседес врач аборт аборт — завтра ехать курорт учитель тетрадь тетрадь — жопа вытирать
Подзатыльник — это же не удар, это толчок в сторону правильного принятия решения. Жалко, что мы даём его только в детстве. Во взрослой жизни это неуместно.	1	подзатыльник — это же не удар это толчок в сторону правильного принятия решения жалко что мы даём его только в детстве во взрослой жизни это неуместно	подзатыльник — это удар это толчок сторона правильный принятие решение жалко даём детство взрослый жизнь это неуместный
"– Вы такая красивая, умная, с чувством юмора, и глаза, и фигура, всё прекрасно!
– Спасибо, я тронута.
– Это я тоже заметил..."	1	– вы такая красивая умная с чувством юмора и глаза и фигура всё прекрасно – спасибо я тронута – это я тоже заметил	– такой красивый умная чувство юмор глаз фигура всё прекрасно – спасибо тронута – это заметить
В маминых котлетках столько любви, что их можно дарить девушке вместо «Рафаэлло».	1	в маминых котлетках столько любви что их можно дарить девушке вместо «рафаэлло»	"мамин котлетка столько любовь дарить девушка вместо "" рафаэлло """
— Вчера купил три пачки Виагры и съел...— Ну и чё?— Хуй через плечо	1	— вчера купил три пачки виагры и съел— ну и чё— хуй через плечо	— вчера купить пачка виагра съесть — что — хуй плечо
"— Рафис, а что вы такой грустный?
— Да вот, сын женится.
— Так радоваться надо! Как жену зовут?
— Серёжа.
— Дааа, не татарское это имя..."	1	— рафис а что вы такой грустный — да вот сын женится — так радоваться надо как жену зовут — серёжа — дааа не татарское это имя	— рафис грустный — сын жениться — радоваться жена звать — серёжа — дааа татарский это имя
"Один англичанин - джентльмен
Два англичанина - бокс
Три англичанина - парламент


Один немец - солдат
Два немца - завод
Три немца - война


Один еврей - заведующий складом
Два еврея - международный шахматный турнир
Три еврея - русский симфонический оркестр

Один пидор - в конец анека палит"	1	один англичанин джентльмен два англичанина бокс три англичанина парламент один немец солдат два немца завод три немца война один еврей заведующий складом два еврея международный шахматный турнир три еврея русский симфонический оркестр один пидор в конец анека палит	англичанин джентльмен англичанина бокс англичанин парламент немец солдат немец завод немец война еврей заведующий склад еврей международный шахматный турнир еврей русский симфонический оркестр пидор конец анека палит
"Приходит Буратино на завод.
- Вы уголь принимаете?
- Да.
Буратино садится и начинает дрочить."	1	приходит буратино на завод вы уголь принимаете да буратино садится и начинает дрочить	приходить буратино завод уголь принимать буратино садиться начинать дрочить
⚡️«Разврат нарушает традиционные ценности». Россиянок обяжут размножаться почкованием	1	⚡️«разврат нарушает традиционные ценности» россиянок обяжут размножаться почкованием	"⚡ ️«разврат нарушать традиционный ценность "" россиянка обязать размножаться почкование"
"Во время детской экскурсии по Америке на самолёте произошла авария. Гид решил утешить детей и сказал:

— Дети, сейчас вы встретитесь с Лил Пипом..."	1	во время детской экскурсии по америке на самолёте произошла авария гид решил утешить детей и сказал — дети сейчас вы встретитесь с лил пипом	время детский экскурсия америка самолёте произойти авария гид решить утешить ребёнок сказать — ребёнок встретитесь лить пипом
">Решил поиграть в симс

>Запер семью в комнате с камином

>Все сгорели

>Запустил симс"	1	решил поиграть в симс запер семью в комнате с камином все сгорели запустил симс	решить поиграть симс запереть семья комната камин сгореть запустить симс
"— С вами говорит специалист по безопасности банка. Нам необходимо защитить ваш счет от несанкционированного доступа. Возьмите, пожалуйста, карту.
— Спасибо, взял.
— Продиктуйте номер.
— 10.
— Дальше?
— Всё.
— Назовите номер на карте целиком.
— 10.
— Что у вас за карта?
— Десятка треф."	1	— с вами говорит специалист по безопасности банка нам необходимо защитить ваш счет от несанкционированного доступа возьмите пожалуйста карту — спасибо взял — продиктуйте номер — — дальше — всё — назовите номер на карте целиком — — что у вас за карта — десятка треф	— вами говорить специалист безопасность банк нам необходимый защитить ваш счёт несанкционированный доступ взять пожалуйста карта — спасибо взять — продиктуйте номер — — далёкий — всё — назвать номер карта целиком — — карта — десятка треф
Кто-то ведь должен помогать одиноким женщинам. У нас какая-то социальная яма в этом вопросе в стране. У нас одиноким старикам помогают, одиноким детям помогают, а мы никому не нужны. У нас ни льгот, ни пособий, ничего вообще. Дайте нам скидки на вино, хоть что-то!	1	ктото ведь должен помогать одиноким женщинам у нас какаято социальная яма в этом вопросе в стране у нас одиноким старикам помогают одиноким детям помогают а мы никому не нужны у нас ни льгот ни пособий ничего вообще дайте нам скидки на вино хоть чтото	ктото должный помогать одинокий женщина какаято социальный яма вопрос страна одинокий старик помогать одинокий ребёнок помогать никто нужный льгот пособие вообще дать нам скидка вино чтото
"В чём секрет хорошей спортивной формы физика?

Постоянная планка."	1	в чём секрет хорошей спортивной формы физика постоянная планка	что секрет хороший спортивный форма физик постоянный планка
"Молодой человек 14-ти неполных лет приходит к врачу:
- Доктор, мне кажется, что у меня депрессия и биполярное расстройство.
— А мне кажется, что у тебя тире короткое)))"	1	молодой человек ти неполных лет приходит к врачу доктор мне кажется что у меня депрессия и биполярное расстройство — а мне кажется что у тебя тире короткое	молодой человек ти неполный год приходить врач доктор казаться депрессия биполярный расстройство — казаться тире короткий
Сейчас не увидишь на улице ни одного человека в майке с огромной надписью «Твоё». Такие майки носят под свитер. Зато если у тебя трусы «Dolce&Gabbana», то ты их натянешь поверх свитера.	1	сейчас не увидишь на улице ни одного человека в майке с огромной надписью «твоё» такие майки носят под свитер зато если у тебя трусы «dolcegabbana» то ты их натянешь поверх свитера	"увидеть улица одного человек майка огромный надпись "" твоё "" такой майка носить свитер зато трус "" dolcegabbana "" натянешь поверх свитер"
"Прапорщик объясняет новобранцам:
- Если камень подбросить, он упадет на землю - на него действует сила земного притяжения.
- А если он упадет в воду? - спрашивает новичок.
- Это нас не касается, этим занимаются на флоте."	1	прапорщик объясняет новобранцам если камень подбросить он упадет на землю на него действует сила земного притяжения а если он упадет в воду спрашивает новичок это нас не касается этим занимаются на флоте	прапорщик объяснять новобранец камень подбросить упасть земля действовать сила земной притяжение упасть вода спрашивать новичок это касаться это заниматься флоте
"Как называется средство для борьбы против двух негров?




Противотуманки"	1	как называется средство для борьбы против двух негров противотуманки	называться средство борьба против два негр противотуманки
"Как называется любовь между карликом и высокой девушкой?

Отношения на расстоянии"	1	как называется любовь между карликом и высокой девушкой отношения на расстоянии	называться любовь карлик высокий девушка отношение расстоянии
"Что будет если цыгане искупаются в море?



В красную книгу занесут морских коньков"	1	что будет если цыгане искупаются в море в красную книгу занесут морских коньков	цыган искупаются море красный книга занести морской конёк
Знаете, что меня искренне удивляет в современных женщинах? То, что они недовольны тем состоянием, которое происходит с ними в настоящий момент времени. В прошлом без тебя у неё всё очень хорошо. В будущем без тебя всё просто шикарно. Но сейчас всё очень плохо, и во всём виноват ты.	1	знаете что меня искренне удивляет в современных женщинах то что они недовольны тем состоянием которое происходит с ними в настоящий момент времени в прошлом без тебя у неё всё очень хорошо в будущем без тебя всё просто шикарно но сейчас всё очень плохо и во всём виноват ты	знать искренне удивлять современный женщина недовольный состояние которое происходить ними настоящий момент время прошлом неё всё очень будущем всё просто шикарно всё очень плохо весь виноватый
"Птичка лежит на тропинке на спинке, клювик сжат, лапки напряжены, её спрашивают:

— Птичка, что ты делаешь?

— (сквозь зубы) Небо держу!

— Птичка, ты же такая маленькая а небо такое большое!

— Д-делаю, что могу."	1	птичка лежит на тропинке на спинке клювик сжат лапки напряжены её спрашивают — птичка что ты делаешь — сквозь зубы небо держу — птичка ты же такая маленькая а небо такое большое — дделаю что могу	птичка лежать тропинка спинка клювик сжат лапки напрячь её спрашивать — птичка делать — сквозь зуб небо дерзить — птичка такой маленький небо такой большой — дделаю мочь
Мне кажется, в целом, самооценка у всех мужчин немного завышена. Я реально завидую. Потому что у нас, у женщин, вообще не так. Женщина даже в браке с мужчиной думает: «Блин, а я точно ему нравлюсь?» А мужик, даже когда его откровенно отшили, думает: «Да она ломается...»	1	мне кажется в целом самооценка у всех мужчин немного завышена я реально завидую потому что у нас у женщин вообще не так женщина даже в браке с мужчиной думает «блин а я точно ему нравлюсь» а мужик даже когда его откровенно отшили думает «да она ломается»	"казаться целом самооценка мужчина немного завысить реально завидовать женщина вообще женщина браке мужчина думать "" блин точно нравиться "" мужик откровенно отшить думать "" да ломаться """
"Чебурашка варит супчик, Гена торчит у телевизора. Чебурашка не знает, сколько сыпать соли.
— Гена, сколько соли сыпать в суп?
— На глаз насыпь.
С кухни раздается страшный вопль:
— А-а-а-а! На хуй насыпь себе, ящерица ебаная!"	1	чебурашка варит супчик гена торчит у телевизора чебурашка не знает сколько сыпать соли — гена сколько соли сыпать в суп — на глаз насыпь с кухни раздается страшный вопль — аааа на хуй насыпь себе ящерица ебаная	чебурашка варить супчик ген торчать телевизор чебурашка знать сколько сыпать соль — ген сколько соль сыпать суп — глаз насыпь кухня раздаваться страшный вопль — аааа хуй насыпь ящерица ёбаный
"Девушка купается на море, вдруг ее начинает под водой кто-то раздевать, она начинает кричать:
— Да что вы делаете, помогите!!!
— Тище дэвушка, ми дэльфины..."	1	девушка купается на море вдруг ее начинает под водой ктото раздевать она начинает кричать — да что вы делаете помогите — тище дэвушка ми дэльфины	девушка купаться море начинать вода ктото раздевать начинать кричать — делать помочь — тище дэвушка ми дэльфины
Современные стандарты красоты вульгарны и безвкусны. Например, что сейчас девушки делают со своими бровями? Что за брови вот такенной толщины? Как будто их валиками нарисовали. Когда ты общаешься с девушкой, у которой такие брови, тебе даже немножко щекотно.	1	современные стандарты красоты вульгарны и безвкусны например что сейчас девушки делают со своими бровями что за брови вот такенной толщины как будто их валиками нарисовали когда ты общаешься с девушкой у которой такие брови тебе даже немножко щекотно	современный стандарт красота вульгарный безвкусный например девушка делать свой бровь бровь такенной толщина валик нарисовать общаешься девушка которой такой бровь тебе немножко щекотно
Согласитесь, что мужчины любят себя такими, какие они есть. Какой бы он ни был, он прекрасен. Он ничего не будет стесняться никогда. Ну серьёзно, вы хоть раз на пляже видели мужчину в парео, который бы говорил: «У меня не идеальные бёдра, я тут прикрою»?	1	согласитесь что мужчины любят себя такими какие они есть какой бы он ни был он прекрасен он ничего не будет стесняться никогда ну серьёзно вы хоть раз на пляже видели мужчину в парео который бы говорил «у меня не идеальные бёдра я тут прикрою»	"согласитесь мужчина любить такой какой прекрасный стесняться серьёзно пляж видеть мужчина парео который говорить "" у идеальный бёдра прикрою """
"Девушка пришла к гинекологу, разделась, села в кресло
и раздвинула ноги.
Доктор:
- Выше!
Девушка подняла ноги повыше.
Доктор:
- Выше!!
Девушка подняла еще выше.
Доктор:
- Выше!!!
Девушка:
- Куда уж выше, доктор, я уж не могу выше.
Доктор:
- Кабинет гинеколога этажом выше, а здесь парикмахерская."	1	девушка пришла к гинекологу разделась села в кресло и раздвинула ноги доктор выше девушка подняла ноги повыше доктор выше девушка подняла еще выше доктор выше девушка куда уж выше доктор я уж не могу выше доктор кабинет гинеколога этажом выше а здесь парикмахерская	девушка прийти гинеколог раздеться село кресло раздвинуть нога доктор выше девушка поднять нога высоко доктор выше девушка поднять выше доктор выше девушка выше доктор мочь выше доктор кабинет гинеколог этаж выше парикмахерский
